ID1	ID2	beta.D	cq
LX_MP	LX_MP	1.47069664577958	0.6508544087491455
LX_MP	PYL_MA	1.3124352469250593	0.740300748559189
LX_MP	QTJ_MT	1.7902324451283713	0.5184581976112921
LX_MP	ZQ_MH	1.3073991848636466	0.7435025436850256
PYL_MA	PYL_MA	1.1378016085790885	0.8678776454459771
PYL_MA	QTJ_MT	1.6354297555276327	0.5761382629878883
PYL_MA	ZQ_MH	1.160675892122769	0.8489821382555978
QTJ_MT	QTJ_MT	1.4216061047559971	0.676468797564688
QTJ_MT	ZQ_MH	1.4225442725087198	0.6759627119524287
ZQ_MH	ZQ_MH	1.1043432841817675	0.8969260383798691
